ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
2.79,2.77,0.87,0.5,2.69,32.3,TRUE,7.3,3.2,5.74,9,2.12,4.08,42.3,101.3,30,2,607192,44.3,40.5,47.4,57.5,85.9,L14,2.67,3,R,Tyler Glasnow,LAD,BB% drift 5.0 pts (season 7.3 -> L14 2.3); HR/9 drift 0.87 (season 0.87 -> L14 0.00)
4.31,5.09,2.15,0.77,4.88,17.5,FALSE,7.6,4.15,4.82,13,3.95,5.12,43.9,102.5,32.2,1,607200,46.7,43.5,50.1,60.2,80.9,season,5.04,12,R,Erick Fedde,CHW,Fewer than 2 L14 starts (1) -- using season data.
2.99,3.87,1.05,0.68,4.5,14.7,TRUE,3.6,2.63,5.91,26,1.96,3.92,47.2,100,40.8,2,607259,48.4,48.5,51,55.9,82.7,L14,2.05,3.21,R,Nick Martinez,TBR,BB% drift 3.6 pts (season 3.6 -> L14 0.0); HR/9 drift 0.30 (season 1.05 -> L14 0.75)
6.37,4.63,1.74,0.87,4.39,18.6,FALSE,5.1,6.42,5.41,23,6.96,5.75,49.9,98.2,36.4,0,607536,41.3,41,44.4,50.4,87.2,season,5.61,9.31,L,Kyle Freeland,COL,L14 file or pitcher row missing -- using season data.
5.03,4.04,1.05,0.8,4.7,17.8,TRUE,7.4,5.21,5.5,28,6.19,3.98,43.6,101.3,33.3,2,607625,46.8,44.6,49.3,56.6,90,L14,6.11,4.09,R,Seth Lugo,KCR,HR/9 drift 1.15 (season 1.05 -> L14 2.20)
2.8,2.62,0.3,0.53,3.63,23.9,FALSE,8.1,2.81,5.62,16,2.56,3.13,47.4,100.2,35.7,1,608331,41.2,45.5,48.2,56.3,84.9,season,1.94,1.69,L,Max Fried,NYY,Fewer than 2 L14 starts (1) -- using season data.
4.35,5.96,1.31,0.82,6.01,14.7,FALSE,18.9,3.6,4.13,5,6.94,1,44.3,97.7,30.5,0,608337,41.8,44.3,47.9,56.4,80,season,4.15,13.5,R,Lucas Giolito,SDP,L14 file or pitcher row missing -- using season data.
5.19,5.25,1.85,0.85,4.88,14,TRUE,5.3,5.26,5.27,25,5.46,4.96,50.2,99.6,35,3,608372,43.4,42.2,43.6,45.3,86.9,L14,4.17,7.12,R,Tomoyuki Sugano,COL,HR/9 drift 1.16 (season 1.85 -> L14 0.69)
3.32,3.92,1.16,0.68,4.26,19.8,TRUE,6.1,3.6,6.32,27,3.56,3.04,49.8,101.6,38.9,2,608379,46,49.3,52.4,60.6,94,L14,3.8,3.51,R,Michael Wacha,KCR,K% drift 9.8 pts (season 19.8 -> L14 29.6); BB% drift 4.3 pts (season 6.1 -> L14 1.8); HR/9 drift 0.56 (season 1.16 -> L14 0.60)
5.11,6.5,2.45,0.86,5.47,16.7,FALSE,9.6,4.86,4.4,10,2.86,7.36,35.2,97.7,30.6,0,608566,47.1,36.6,45.5,54.4,76.4,season,4.65,,R,Germán Márquez,SDP,L14 file or pitcher row missing -- using season data.
