xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.27,164,29.27,0.32,-0.87,5.81,ATH,37.8,34.31,Curveball,CU,32.39,0.19,2550.96,75.31,79.05,58.06
0.46,133,27.82,0.1,0.63,4.71,ATH,48.12,30.43,Cutter,FC,31.43,0.35,2379.6,84.65,90.59,76.56
0.23,87,28.74,0.55,-0.99,3.08,ATH,28.74,29.03,Knuckle Curve,KC,36.67,0.22,2636.87,76.15,84.56,48
0.14,59,35.59,-0.87,0.14,2.09,ATH,42.37,32.35,Split-Finger,FS,53.33,0.11,1549.81,85.97,89.12,76
0,3,0,0,0,0.11,ATH,0,0,Unknown,UNK,0,0,0,0,0,0
0.31,985,23.96,-0.4,1.29,35.53,ATL,50.15,26.48,4-Seam Fastball,FF,18.88,0.22,2389.52,82.89,95.32,71.26
0.32,400,29.5,-0.42,0.6,14.43,ATL,64,26.39,Sinker,SI,15.05,0.34,2284.25,84.34,94.42,65.62
0.29,332,32.83,0.06,0.07,11.98,ATL,44.88,46.99,Slider,SL,32.31,0.34,2533.22,82.21,86.96,73.15
0.39,274,22.63,0.08,0.76,9.88,ATL,39.05,36.53,Cutter,FC,26.35,0.26,2437.38,79.77,90.69,81.31
0.21,266,22.18,-0.46,0.4,9.6,ATL,33.08,35.39,Changeup,CH,32.82,0.19,1949.09,81.5,85.32,77.27
0.24,190,32.63,0.23,-0.79,6.85,ATL,31.58,43.08,Curveball,CU,36.26,0.19,2664.01,80.24,80.07,58.33
0.3,140,30,0.5,0.07,5.05,ATL,44.29,35.9,Sweeper,ST,27.94,0.3,2589.04,82.54,83.32,64.52
0.39,131,17.56,-0.88,0.16,4.73,ATL,21.37,44.66,Split-Finger,FS,29.17,0.28,1270.5,81.58,89.53,92.86
0.36,18,38.89,0.5,-0.92,0.65,ATL,27.78,61.54,Knuckle Curve,KC,45.45,0.5,2799.56,80.35,83.34,60
0,18,0,0,0,0.65,ATL,0,0,Unknown,UNK,0,0,0,0,0,0
0.26,12,33.33,-0.26,0.03,0.43,ATL,66.67,0,Forkball,FO,33.33,0.33,804.33,71.8,87.37,75
0,6,100,0.12,0.66,0.22,ATL,66.67,100,Slurve,SV,100,0,2275.33,0,84.43,100
0.31,850,24.94,-0.14,1.19,31.34,BAL,52.82,26.43,4-Seam Fastball,FF,18.14,0.19,2263.44,82.9,94,69.71
0.3,421,19.95,-0.58,0.25,15.52,BAL,34.2,39.71,Changeup,CH,23.64,0.29,1664.95,78.48,84.56,76.39
0.24,363,26.45,-0.06,0.1,13.38,BAL,40.77,34.42,Slider,SL,28.89,0.15,2372.97,81.83,84.56,71.62
0.36,360,32.78,-0.41,0.56,13.27,BAL,64.44,27.34,Sinker,SI,17.13,0.28,2204.9,81.83,93,62.93
0.33,253,25.69,0.02,0.68,9.33,BAL,52.17,24.79,Cutter,FC,17.07,0.21,2304.16,80.95,88.82,70.45
0.25,232,32.76,0.3,0.02,8.55,BAL,43.1,43.18,Sweeper,ST,31.4,0.29,2530.94,86.12,81.83,64
0.18,162,27.16,0.15,-0.8,5.97,BAL,38.27,31,Curveball,CU,25,0.14,2549.08,79.47,78.35,53.23
0.07,26,26.92,-0.81,0.32,0.96,BAL,7.69,50,Split-Finger,FS,50,0,1296.46,71.46,88.62,100
