team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
STL,FS,Splitter,119,109,24,36,7,1,31,3,26.05042,5.88235,0.22018,0.27119,0.33028,0.11009,0.26487,2.52101,2026-05-06,2026-09-03
STL,KC,Knuckle Curve,39,36,10,15,2,1,12,1,30.76923,5.12821,0.27778,0.33333,0.41667,0.13889,0.33256,2.5641,2026-05-06,2026-09-03
STL,SI,Sinker,748,645,173,236,81,15,79,14,10.5615,10.82888,0.26822,0.36107,0.36589,0.09767,0.3296,1.87166,2026-05-06,2026-09-03
STL,SL,Slider,525,478,116,173,31,7,122,10,23.2381,5.90476,0.24268,0.29389,0.36192,0.11925,0.29002,1.90476,2026-05-06,2026-09-03
STL,ST,Sweeper,312,277,61,99,20,11,80,9,25.64103,6.41026,0.22022,0.29677,0.3574,0.13718,0.29381,2.88462,2026-05-06,2026-09-03
STL,SV,Slurve,33,31,4,5,2,0,8,0,24.24242,6.06061,0.12903,0.18182,0.16129,0.03226,0.16121,0.0,2026-05-06,2026-09-03
TBR,CH,Changeup,392,366,104,157,18,1,66,10,16.83673,4.59184,0.28415,0.3162,0.42896,0.14481,0.32499,2.55102,2026-05-06,2026-09-03
TBR,CS,Slow Curve,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
TBR,CU,Curveball,220,197,35,47,10,7,63,2,28.63636,4.54545,0.17766,0.24074,0.23858,0.06091,0.22125,0.90909,2026-05-06,2026-09-03
TBR,EP,Eephus,14,14,8,11,0,0,0,1,0.0,0.0,0.57143,0.57143,0.78571,0.21429,0.595,7.14286,2026-05-06,2026-09-03
TBR,FA,Fastball,2,2,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-06,2026-09-03
TBR,FC,Cutter,319,284,88,124,28,2,33,7,10.34483,8.77743,0.30986,0.37342,0.43662,0.12676,0.35724,2.19436,2026-05-06,2026-09-03
TBR,FF,4-Seam Fastball,1292,1120,281,445,141,6,249,35,19.27245,10.91331,0.25089,0.33385,0.39732,0.14643,0.3242,2.70898,2026-05-06,2026-09-03
