K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.25,140,0.28,0.05,0.23,0.33,0.84,0.51,BOS,0.36,129,0.35,,,0.29,,,,,Ceddanne Rafaela,
0.08,140,0.32,0.04,0.21,0.34,0.88,0.53,ARI,0.38,140,0.32,,,0.31,,,,,Ildemaro Vargas,
0.31,137,0.22,0.09,0.15,0.28,0.65,0.37,SFG,0.29,82,0.29,,,0.3,,,,,Willy Adames,
0.27,137,0.32,0.09,0.31,0.39,1.01,0.63,CIN,0.43,176,0.4,,,0.36,,,,,Elly De La Cruz,
0.3,136,0.24,0.08,0.13,0.31,0.68,0.37,KCR,0.3,91,0.34,,,0.29,,,,,Carter Jensen,
0.24,136,0.29,0.13,0.22,0.39,0.9,0.51,CIN,0.38,145,0.35,,,0.35,,,,,Sal Stewart,
0.24,136,0.32,0.05,0.34,0.36,1.02,0.66,CHW,0.43,177,0.37,,,0.34,,,,,Randal Grichuk,
0.27,135,0.25,0.09,0.24,0.33,0.81,0.49,TOR,0.36,125,0.3,,,0.32,,,,,Kazuma Okamoto,
0.11,135,0.27,0.11,0.18,0.35,0.8,0.45,STL,0.35,123,0.28,,,0.3,,,,,José Fermín,
0.16,135,0.3,0.09,0.17,0.38,0.85,0.47,WSN,0.37,137,0.35,,,0.32,,,,,Jacob Young,
0.21,134,0.21,0.06,0.11,0.27,0.58,0.31,KCR,0.26,63,0.25,,,0.3,,,,,Isaac Collins,
0.18,134,0.25,0.08,0.28,0.31,0.85,0.53,ATH,0.36,131,0.24,,,0.29,,,,,Jonah Heim,
0.2,133,0.24,0.1,0.18,0.31,0.73,0.42,SDP,0.31,96,0.27,,,0.33,,,,,Manny Machado,
0.35,133,0.16,0.07,0.13,0.24,0.53,0.29,CHC,0.24,48,0.21,,,0.31,,,,,Ian Happ,
0.2,133,0.31,0.14,0.24,0.41,0.96,0.55,CHC,0.41,159,0.34,,,0.34,,,,,Seiya Suzuki,
0.11,133,0.25,0.05,0.08,0.32,0.66,0.34,TBR,0.3,87,0.28,,,0.29,,,,,Nick Fortes,
0.19,132,0.23,0.13,0.05,0.33,0.61,0.28,WSN,0.29,80,0.28,,,0.27,,,,,Nasim Nuñez,
0.27,132,0.26,0.07,0.16,0.33,0.75,0.42,NYM,0.33,109,0.33,,,0.34,,,,,Carson Benge,
0.13,131,0.29,0.07,0.3,0.34,0.94,0.6,ARI,0.39,151,0.27,,,0.35,,,,,Ketel Marte,
0.3,131,0.25,0.07,0.23,0.29,0.77,0.48,CHC,0.33,107,0.3,,,0.31,,,,,Dansby Swanson,
0.15,131,0.28,0.1,0.07,0.36,0.71,0.35,LAA,0.32,102,0.33,,,0.31,,,,,Vaughn Grissom,
0.19,130,0.22,0.08,0.06,0.3,0.58,0.28,SDP,0.26,62,0.28,,,0.31,,,,,Luis Rengifo,
0.25,130,0.19,0.07,0.18,0.25,0.62,0.37,NYY,0.27,67,0.21,,,0.31,,,,,Amed Rosario,
0.24,130,0.28,0.08,0.24,0.33,0.86,0.52,TBR,0.36,132,0.32,,,0.32,,,,,Ryan Vilade,
0.37,130,0.19,0.17,0.21,0.32,0.72,0.39,CHW,0.32,101,0.26,,,0.37,,,,,Munetaka Murakami,
0.2,128,0.31,0.13,0.29,0.4,0.99,0.6,SDP,0.42,172,0.35,,,0.38,,,,,Fernando Tatis Jr.,
0.16,128,0.26,0.11,0.13,0.34,0.73,0.39,MIA,0.32,102,0.28,,,0.32,,,,,Xavier Edwards,
0.2,128,0.3,0.09,0.12,0.36,0.77,0.41,STL,0.34,114,0.36,,,0.3,,,,,Masyn Winn,
0.29,128,0.2,0.09,0.04,0.27,0.51,0.24,BAL,0.24,46,0.29,,,0.28,,,,,Leody Taveras,
0.19,128,0.22,0.09,0.14,0.31,0.67,0.36,TOR,0.3,86,0.26,,,0.3,,,,,George Springer,
0.3,128,0.21,0.08,0.12,0.28,0.61,0.33,COL,0.27,69,0.29,,,0.28,,,,,Ezequiel Tovar,
0.11,128,0.36,0.04,0.15,0.38,0.89,0.52,MIA,0.38,142,0.38,,,0.32,,,,,Otto Lopez,
0.2,127,0.2,0.09,0.07,0.27,0.54,0.27,TBR,0.25,53,0.25,,,0.25,,,,,Taylor Walls,
0.19,127,0.27,0.17,0.27,0.41,0.95,0.54,BOS,0.41,162,0.29,,,0.38,,,,,Willson Contreras,
0.26,127,0.18,0.12,0.04,0.29,0.52,0.23,CLE,0.25,54,0.25,,,0.3,,,,,Travis Bazzana,
0.13,126,0.22,0.12,0.07,0.31,0.6,0.29,SDP,0.27,70,0.24,,,0.32,,,,,Xander Bogaerts,
0.1,126,0.26,0.06,0.14,0.32,0.72,0.4,BOS,0.32,102,0.27,,,0.29,,,,,Caleb Durbin,
0.24,126,0.26,0.06,0.05,0.32,0.63,0.31,KCR,0.28,78,0.33,,,0.29,,,,,Starling Marte,
0.13,126,0.27,0.14,0.09,0.38,0.75,0.37,TOR,0.34,113,0.31,,,0.33,,,,,Vladimir Guerrero Jr.,
0.21,126,0.24,0.1,0.22,0.32,0.78,0.46,ARI,0.34,114,0.26,,,0.3,,,,,Nolan Arenado,
0.22,125,0.28,0.14,0.26,0.38,0.92,0.54,MIL,0.4,152,0.32,,,0.37,,,,,Jake Bauers,
0.34,125,0.16,0.14,0.21,0.28,0.64,0.36,CLE,0.29,79,0.17,,,0.3,,,,,Rhys Hoskins,
0.25,125,0.22,0.09,0.06,0.29,0.57,0.28,BOS,0.26,62,0.29,,,0.29,,,,,Jarren Duran,
0.35,124,0.27,0.05,0.17,0.33,0.78,0.44,ATH,0.34,117,0.4,,,0.3,,,,,Henry Bolte,
0.08,124,0.21,0.09,0.15,0.28,0.65,0.37,LAD,0.28,73,0.2,,,0.33,,,,,Mookie Betts,
0.28,124,0.26,0.09,0.24,0.33,0.83,0.5,TEX,0.36,128,0.31,,,0.3,,,,,Jake Burger,
0.15,124,0.29,0.06,0.12,0.35,0.76,0.41,HOU,0.34,112,0.33,,,0.32,,,,,Isaac Paredes,
0.32,124,0.24,0.06,0.14,0.28,0.66,0.37,NYY,0.29,81,0.32,,,0.28,,,,,José Caballero,
0.12,124,0.31,0.07,0.17,0.36,0.84,0.48,LAD,0.37,133,0.33,,,0.32,,,,,Miguel Rojas,
0.16,123,0.28,0.1,0.19,0.34,0.81,0.47,ARI,0.35,121,0.3,,,0.37,,,,,Gabriel Moreno,
0.27,123,0.22,0.09,0.26,0.29,0.78,0.48,BAL,0.34,113,0.24,,,0.31,,,,,Tyler O'Neill,
0.25,123,0.3,0.12,0.2,0.38,0.87,0.49,MIL,0.37,135,0.38,,,0.34,,,,,Jackson Chourio,
0.37,121,0.23,0.03,0.13,0.27,0.63,0.36,PHI,0.28,72,0.35,,,0.31,,,,,Brandon Marsh,
0.23,121,0.24,0.11,0.31,0.33,0.89,0.56,MIA,0.38,140,0.24,,,0.35,,,,,Heriberto Hernández,
0.07,121,0.3,0.13,0.22,0.4,0.93,0.53,CLE,0.39,151,0.29,,,0.35,,,,,José Ramírez,
0.23,121,0.22,0.05,0.13,0.27,0.63,0.36,PIT,0.28,74,0.26,,,0.32,,,,,Ryan O'Hearn,
0.16,120,0.32,0.04,0.22,0.36,0.89,0.53,COL,0.39,147,0.35,,,0.32,,,,,Jake McCarthy,
0.23,120,0.29,0.13,0.17,0.39,0.85,0.46,TEX,0.37,138,0.37,,,0.3,,,,,Ezequiel Duran,
0.22,120,0.21,0.09,0.22,0.29,0.72,0.43,HOU,0.31,98,0.22,,,0.32,,,,,Cam Smith,
0.19,120,0.24,0.04,0.11,0.28,0.62,0.34,TBR,0.28,72,0.29,,,0.29,,,,,Ben Williamson,
0.16,119,0.23,0.07,0.1,0.29,0.62,0.32,LAA,0.28,73,0.25,,,0.33,,,,,Nolan Schanuel,
0.13,119,0.26,0.1,0.18,0.33,0.77,0.44,DET,0.33,110,0.28,,,0.3,,,,,Matt Vierling,
0.18,119,0.24,0.1,0.16,0.32,0.72,0.41,NYY,0.32,101,0.28,,,0.34,,,,,Trent Grisham,
0.16,119,0.23,0.03,0.09,0.28,0.6,0.32,TOR,0.27,68,0.26,,,0.27,,,,,Andrés Giménez,
