bats,team,status,throws,position,full_name,player_id,team_abbr,jersey_number,position_type
L,Kansas City Royals,active,R,2B,Michael Massey,686681,KCR,19,2B
L,Kansas City Royals,active,R,3B,Josh Rojas,668942,KCR,40,3B
R,Kansas City Royals,active,R,3B,Nick Loftin,679845,KCR,12,3B
L,Kansas City Royals,active,R,C,Carter Jensen,695600,KCR,22,C
R,Kansas City Royals,active,R,C,Luke Maile,571912,KCR,18,C
R,Kansas City Royals,active,R,DH,Salvador Perez,521692,KCR,13,DH
S,Kansas City Royals,active,R,LF,Isaac Collins,686555,KCR,1,OF
L,Kansas City Royals,active,L,RF,Jac Caglianone,695506,KCR,14,OF
L,Kansas City Royals,active,L,RF,John Rave,670231,KCR,16,OF
L,Kansas City Royals,active,R,CF,Kyle Isbel,664728,KCR,28,OF
R,Kansas City Royals,active,R,LF,Matthew Lugo,683090,KCR,24,OF
R,Kansas City Royals,active,R,P,Alex Lange,656638,KCR,56,RP
L,Kansas City Royals,active,L,P,Anthony Gose,543238,KCR,34,RP
L,Kansas City Royals,active,L,P,Connor Thomas,671162,KCR,50,RP
R,Kansas City Royals,active,R,P,Craig Kimbrel,518886,KCR,26,RP
L,Kansas City Royals,active,L,P,Daniel Lynch IV,663738,KCR,41,RP
R,Kansas City Royals,active,R,P,Easton McGee,668834,KCR,51,RP
R,Kansas City Royals,active,R,P,Jose Cuas,621016,KCR,74,RP
R,Kansas City Royals,active,R,P,Michael Wacha,608379,KCR,52,RP
R,Kansas City Royals,active,R,P,Nate Pearson,663878,KCR,61,RP
L,Kansas City Royals,active,L,P,Noah Cameron,702070,KCR,65,RP
R,Kansas City Royals,active,R,P,Nolan Hoffman,676510,KCR,35,RP
R,Kansas City Royals,active,R,P,Randy Dobnak,677976,KCR,62,RP
R,Kansas City Royals,active,R,P,Seth Lugo,607625,KCR,67,RP
R,Kansas City Royals,active,R,P,Steven Cruz,674444,KCR,64,RP
R,Kansas City Royals,active,R,SS,Bobby Witt Jr.,677951,KCR,7,SS
R,Kansas City Royals,active,R,SS,Tyler Tolbert,686475,KCR,2,SS
L,Los Angeles Angels,active,R,2B,Adam Frazier,624428,LAA,20,2B
