ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
3,3,0,,3.82,25,FALSE,8.3,3,1,3,4.5,0,37.1,87.8,65.7,0,623474,34.6,35.3,38.4,44.7,16,season,3,,R,Jimmy Herget,COL,Fewer than 2 L14 starts (0) -- using season data.
2.83,2.68,0.44,,3.5,24.9,FALSE,7.4,3.24,5.51,15,2.12,3.75,44,101.2,52,0,624133,41.8,40.8,43.9,48.9,86.5,season,2.93,4.09,R,Ranger Suarez,BOS,Fewer than 2 L14 starts (0) -- using season data.
4.4,3.68,0.63,,3.99,23.4,FALSE,4.7,5.4,4.78,3,3.38,5,53.7,102,51.7,0,640455,44.8,52.4,50.9,53.4,88.3,season,3.18,9,R,Sean Manaea,NYM,Fewer than 2 L14 starts (0) -- using season data.
0,3.41,0,,4.04,28.6,FALSE,0,0.9,1,2,0,,15.6,96.8,41,0,641302,42.2,28.2,31.3,27.1,15.5,season,0,,R,Tyler Alexander,TEX,Fewer than 2 L14 starts (0) -- using season data.
4.28,5.05,1.3,,4.81,19.8,FALSE,8.6,5.01,4.95,14,6.4,2.43,50.5,101.8,50.9,0,641743,50.9,48.1,52.5,58.6,91.1,season,5.21,6,R,Anthony Kay,CHW,Fewer than 2 L14 starts (0) -- using season data.
6.31,6.52,2.98,,5.33,13.9,FALSE,7.4,7.04,4.67,11,5.27,6.69,48.8,99.1,49.2,0,641793,50.3,47.2,50.9,55.5,77.1,season,8.04,,R,Zack Littell,WSN,Fewer than 2 L14 starts (0) -- using season data.
5.49,4.69,1.59,,4.1,22.8,FALSE,9.7,5.1,5.19,12,8.88,3.32,50.8,99.9,48.8,0,641816,48.7,49.1,50.9,54.6,86.3,season,6.94,1.64,R,Tyler Mahle,SFG,Fewer than 2 L14 starts (0) -- using season data.
3,3.28,0,,2.9,26.7,FALSE,6.7,3.6,1.5,2,9,0,56.1,102.8,64.3,0,641835,45.7,37.6,49.6,66,28.5,season,0,,R,Tim Mayza,PHI,Fewer than 2 L14 starts (0) -- using season data.
4.59,4.96,1.62,,4.93,16.4,FALSE,6.4,4.65,5.56,12,7.66,2.79,44.7,99.6,49.8,0,641927,53.3,41.2,45.5,44.9,86,season,3,,R,Bailey Ober,MIN,Fewer than 2 L14 starts (0) -- using season data.
0,3.8,0,,4.14,11.1,FALSE,11.1,0,2,1,0,,67.1,99.5,55.1,0,642121,33.1,56.7,57.2,75.1,36,season,,,R,Cole Sulser,TBR,Fewer than 2 L14 starts (0) -- using season data.
4.53,4.32,1.18,,4.08,22,FALSE,8.8,4.76,5.37,17,5.4,4.07,48.4,102.2,49.7,0,642547,46.2,47.4,48.7,51.8,94.5,season,5.21,3.31,R,Freddy Peralta,NYM,Fewer than 2 L14 starts (0) -- using season data.
2.4,4.47,1.2,,3.72,23.6,FALSE,7.1,3.6,4.09,11,1.29,3.38,45.9,100.4,55.7,0,643377,46.4,39.4,47.4,57.4,59.5,season,2.81,,R,Griffin Jax,TBR,Fewer than 2 L14 starts (0) -- using season data.
4.01,3.95,0.98,,4.16,17.6,FALSE,5.9,4.24,6.47,17,4.97,3.19,51.2,103.2,53.9,0,645261,51.8,49.2,52.1,55.7,97.2,season,4.18,3,R,Sandy Alcantara,MIA,Fewer than 2 L14 starts (0) -- using season data.
4.5,3.1,0,,4.73,11.1,FALSE,0,1.8,2,1,,4.5,28.4,85.1,29.2,0,647315,50.8,18.5,29.8,27.7,37,season,4.5,,R,Zach Pop,PHI,Fewer than 2 L14 starts (0) -- using season data.
3.07,2.93,0.66,,3.59,23.7,FALSE,5.1,3.6,5.47,15,4.54,2.05,47.8,102.5,52.3,0,647336,46.3,48,49.4,53.3,86,season,2.18,6,R,Michael Soroka,ARI,Fewer than 2 L14 starts (0) -- using season data.
3.33,4.16,0.98,,4.27,20.8,FALSE,9.3,2.25,5.75,16,3.96,2.87,54.1,101.2,48.2,0,650633,48.8,51.9,53.3,58.2,92.1,season,2.66,0,R,Michael King,SDP,Fewer than 2 L14 starts (0) -- using season data.
4.88,5.34,1.87,,5.12,16.2,FALSE,6.7,4.71,4.82,13,3.34,6.83,50.1,103.4,49.6,0,650644,45.4,47.5,53.1,64.9,83.1,season,4.95,1.8,R,Aaron Civale,ATH,Fewer than 2 L14 starts (0) -- using season data.
7.17,5.42,1.91,,4.49,23.9,FALSE,13.5,6.52,4.71,8,12.34,4.85,62.9,104.1,60.5,0,656288,51,61.5,60,64.8,80.6,season,3.09,5.4,R,Griffin Canning,SDP,Fewer than 2 L14 starts (0) -- using season data.
2.75,2.38,0.57,,2.6,36.2,FALSE,10.7,2.83,5.62,14,3.34,2.33,48.7,102.9,51.2,0,656302,44.9,46.1,49,55.3,99.4,season,2.18,5.4,R,Dylan Cease,TOR,Fewer than 2 L14 starts (0) -- using season data.
5.35,4.09,1.1,,4.56,25.5,FALSE,11.1,5.52,4.38,15,5.04,5.6,41.6,97.4,45.7,0,656427,46.6,39.4,43.5,45.9,85.9,season,5.59,,R,Jack Flaherty,DET,Fewer than 2 L14 starts (0) -- using season data.
