player_id,full_name,team,team_abbr,position,position_type,bats,throws,jersey_number,status
682668,Luisangel Acuña,Chicago White Sox,CHW,SS,SS,R,R,0,active
701398,Sal Stewart,Cincinnati Reds,CIN,1B,1B,R,R,27,active
695490,Edwin Arroyo,Cincinnati Reds,CIN,2B,2B,S,R,2,active
671155,Ivan Johnson,Cincinnati Reds,CIN,2B,2B,S,R,63,active
680574,Matt McLain,Cincinnati Reds,CIN,2B,2B,R,R,9,active
624431,Jose Trevino,Cincinnati Reds,CIN,C,C,R,R,35,active
663886,Tyler Stephenson,Cincinnati Reds,CIN,C,C,R,R,37,active
677943,Will Banfield,Cincinnati Reds,CIN,C,C,R,R,60,active
553993,Eugenio Suárez,Cincinnati Reds,CIN,DH,DH,R,R,28,active
667472,Dane Myers,Cincinnati Reds,CIN,CF,OF,R,R,17,active
699302,Héctor Rodríguez,Cincinnati Reds,CIN,RF,OF,L,R,43,active
668709,JJ Bleday,Cincinnati Reds,CIN,LF,OF,L,L,22,active
670770,TJ Friedl,Cincinnati Reds,CIN,CF,OF,L,L,29,active
671096,Andrew Abbott,Cincinnati Reds,CIN,P,RP,L,L,41,active
663903,Brady Singer,Cincinnati Reds,CIN,P,RP,R,R,51,active
656271,Brock Burke,Cincinnati Reds,CIN,P,RP,L,L,49,active
695505,Chase Burns,Cincinnati Reds,CIN,P,RP,R,R,26,active
641941,Emilio Pagán,Cincinnati Reds,CIN,P,RP,L,R,15,active
670062,Julian Garcia,Cincinnati Reds,CIN,P,RP,L,R,57,active
682825,Luis Mey,Cincinnati Reds,CIN,P,RP,R,R,47,active
666157,Nick Lodolo,Cincinnati Reds,CIN,P,RP,L,L,40,active
572955,Pierce Johnson,Cincinnati Reds,CIN,P,RP,R,R,52,active
695076,Rhett Lowder,Cincinnati Reds,CIN,P,RP,R,R,25,active
594580,Sam Moll,Cincinnati Reds,CIN,P,RP,L,L,50,active
622088,Tejay Antone,Cincinnati Reds,CIN,P,RP,R,R,70,active
663574,Tony Santillan,Cincinnati Reds,CIN,P,RP,R,R,64,active
682829,Elly De La Cruz,Cincinnati Reds,CIN,SS,SS,S,R,44,active
663993,Nathaniel Lowe,Cleveland Guardians,CLE,1B,1B,L,R,46,active
694197,Angel Genao,Cleveland Guardians,CLE,2B,2B,S,R,17,active
683953,Travis Bazzana,Cleveland Guardians,CLE,2B,2B,L,R,37,active
608070,José Ramírez,Cleveland Guardians,CLE,3B,3B,S,R,11,active
595978,Austin Hedges,Cleveland Guardians,CLE,C,C,R,R,27,active
672275,Patrick Bailey,Cleveland Guardians,CLE,C,C,S,R,16,active
682657,Angel Martínez,Cleveland Guardians,CLE,LF,OF,S,R,1,active
800050,Chase DeLauter,Cleveland Guardians,CLE,RF,OF,L,L,24,active
681807,David Fry,Cleveland Guardians,CLE,RF,OF,R,R,6,active
666176,Jo Adell,Cleveland Guardians,CLE,RF,OF,R,R,7,active
690984,Petey Halpin,Cleveland Guardians,CLE,CF,OF,L,R,0,active
680757,Steven Kwan,Cleveland Guardians,CLE,LF,OF,L,L,38,active
671922,Cade Smith,Cleveland Guardians,CLE,P,RP,R,R,36,active
670059,Colin Holderman,Cleveland Guardians,CLE,P,RP,R,R,35,active
684974,Craig Yoho,Cleveland Guardians,CLE,P,RP,R,R,23,active
681870,Erik Sabrowski,Cleveland Guardians,CLE,P,RP,R,L,62,active
656492,Foster Griffin,Cleveland Guardians,CLE,P,RP,R,L,22,active
668909,Gavin Williams,Cleveland Guardians,CLE,P,RP,L,R,32,active
683769,Hunter Gaddis,Cleveland Guardians,CLE,P,RP,R,R,33,active
676282,Joey Cantillo,Cleveland Guardians,CLE,P,RP,L,L,54,active
671106,Logan Allen,Cleveland Guardians,CLE,P,RP,R,L,26,active
670036,Matt Festa,Cleveland Guardians,CLE,P,RP,R,R,52,active
800048,Parker Messick,Cleveland Guardians,CLE,P,RP,L,L,77,active
676440,Tanner Bibee,Cleveland Guardians,CLE,P,RP,R,R,28,active
682120,Tim Herrin,Cleveland Guardians,CLE,P,RP,L,L,29,active
677587,Brayan Rocchio,Cleveland Guardians,CLE,SS,SS,S,R,4,active
681198,TJ Rumfield,Colorado Rockies,COL,1B,1B,L,R,7,active
681393,Connor Norby,Colorado Rockies,COL,2B,2B,R,R,35,active
650489,Willi Castro,Colorado Rockies,COL,2B,2B,S,R,3,active
664954,Brett Sullivan,Colorado Rockies,COL,C,C,L,R,26,active
696100,Hunter Goodman,Colorado Rockies,COL,C,C,R,R,15,active
694249,Cole Carrigg,Colorado Rockies,COL,CF,OF,S,R,16,active
664983,Jake McCarthy,Colorado Rockies,COL,LF,OF,L,L,31,active
687597,Jordan Beck,Colorado Rockies,COL,LF,OF,R,R,27,active
666160,Mickey Moniak,Colorado Rockies,COL,LF,OF,L,R,22,active
687859,Troy Johnston,Colorado Rockies,COL,RF,OF,L,L,20,active
691728,Zac Veen,Colorado Rockies,COL,LF,OF,L,R,13,active
657514,Brennan Bernardino,Colorado Rockies,COL,P,RP,L,L,83,active
687312,Gabriel Hughes,Colorado Rockies,COL,P,RP,R,R,43,active
677955,Jaden Hill,Colorado Rockies,COL,P,RP,R,R,0,active
623474,Jimmy Herget,Colorado Rockies,COL,P,RP,R,R,44,active
605447,Jordan Romano,Colorado Rockies,COL,P,RP,R,R,68,active
675848,Juan Mejia,Colorado Rockies,COL,P,RP,R,R,47,active
815081,Mark Manfredi,Colorado Rockies,COL,P,RP,R,L,54,active
690279,Mason Adams,Colorado Rockies,COL,P,RP,R,R,38,active
693308,Nick Frasso,Colorado Rockies,COL,P,RP,R,R,41,active
663372,Ryan Feltner,Colorado Rockies,COL,P,RP,R,R,18,active
685299,Tanner Gordon,Colorado Rockies,COL,P,RP,L,R,29,active
608372,Tomoyuki Sugano,Colorado Rockies,COL,P,RP,R,R,11,active
688642,Zach Agnos,Colorado Rockies,COL,P,RP,R,R,36,active
678662,Ezequiel Tovar,Colorado Rockies,COL,SS,SS,R,R,14,active
690022,Ryan Ritter,Colorado Rockies,COL,SS,SS,R,R,8,active
679529,Spencer Torkelson,Detroit Tigers,DET,1B,1B,R,R,20,active
650402,Gleyber Torres,Detroit Tigers,DET,2B,2B,R,R,25,active
701678,Hao-Yu Lee,Detroit Tigers,DET,2B,2B,R,R,50,active
690993,Colt Keith,Detroit Tigers,DET,3B,3B,L,R,33,active
